atom_number,atom_id,atom_name,collection_number,series_number,series_id,series_name,proposed_hero_grade,review_lane,signoff_status,ingest_readiness,dominant_verb_seed,counterforce_type_seed,semantic_neutrality_seed,resolution_class_seed,memory_trace_type_seed,approved_for_navicue,approved_for_journey,approved_for_insight,approved_for_practice,structural_score,triage_tier,heat_fit,navicue_fit,journey_fit,insight_fit,practice_fit,repetition_cluster_size,refinement_priority,refinement_reasons,matching_tags,signoff_notes,manual_hero_grade,manual_override_reason,reviewer,reviewed_at
638,angular-theft-stabilize,The Angular Theft Engine,7,64,momentum-theft,The Momentum Theft,playable,composition-pass,seeded,hold,guide,entanglement,high,state-morph,transformation,review,review,no,yes,6,composition-sensitive,broad,medium,medium,low,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:agency | job:boundary | job:regulation | physics:gravitational | physics:network | physics:thermal | resolution:state-morph | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
639,slipstream-draft,The Slipstream Draft Engine,7,64,momentum-theft,The Momentum Theft,playable,composition-pass,seeded,hold,guide,entanglement,high,state-morph,transformation,review,yes,review,yes,7,composition-sensitive,broad,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:agency | job:regulation | job:release | physics:fluid | physics:gravitational | physics:network | resolution:state-morph | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
640,absolute-robbery,The Absolute Robbery Engine,7,64,momentum-theft,The Momentum Theft,playable,composition-pass,seeded,hold,hold,distortion,high,seal,closure,review,review,no,yes,6,composition-sensitive,high-heat,medium,medium,low,high,5,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:hold | job:agency | job:boundary | job:regulation | physics:gravitational | physics:optical | physics:subtractive | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
641,aerodynamic-draft,The Aerodynamic Draft Engine,7,65,slipstream,The Slipstream,playable,composition-pass,seeded,hold,guide,entanglement,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,broad,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:boundary | job:identity | job:release | physics:gravitational | physics:network | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
642,laminar-flow-smooth,The Laminar Flow Engine,7,65,slipstream,The Slipstream,playable,composition-pass,seeded,hold,clear,entanglement,high,field-recompose,reorientation,review,review,yes,yes,7,composition-sensitive,broad,medium,medium,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:scrub | job:agency | job:boundary | job:identity | physics:fluid | physics:network | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
643,thermal-updraft-lift,The Thermal Updraft Engine,7,65,slipstream,The Slipstream,playable,composition-pass,seeded,hold,guide,entanglement,high,field-recompose,reorientation,review,review,yes,yes,7,composition-sensitive,broad,medium,medium,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:agency | job:boundary | job:identity | physics:fluid | physics:network | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
644,path-least-resistance,The Path of Least Resistance Engine,7,65,slipstream,The Slipstream,playable,composition-pass,seeded,hold,trigger,entanglement,high,state-morph,transformation,review,no,review,yes,6,composition-sensitive,high-heat,medium,low,medium,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-low | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:agency | job:boundary | job:identity | physics:fluid | physics:network | physics:structural | resolution:state-morph | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
645,bow-wave-surf,The Bow Wave Engine,7,65,slipstream,The Slipstream,playable,composition-pass,seeded,hold,guide,constraint,high,field-recompose,reorientation,review,review,review,yes,7,composition-sensitive,broad,medium,medium,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:agency | job:boundary | job:identity | physics:fluid | physics:gravitational | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
646,wake-ride-pioneer,The Wake Ride Engine,7,65,slipstream,The Slipstream,playable,composition-pass,seeded,hold,guide,constraint,high,field-recompose,reorientation,review,review,review,yes,7,composition-sensitive,broad,medium,medium,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:agency | job:boundary | job:identity | physics:fluid | physics:gravitational | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
647,capillary-action-rise,The Capillary Action Engine,7,65,slipstream,The Slipstream,playable,composition-pass,seeded,hold,guide,constraint,high,field-recompose,reorientation,review,review,review,yes,7,composition-sensitive,broad,medium,medium,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:agency | job:boundary | job:identity | physics:fluid | physics:gravitational | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
648,phase-alignment-gate,The Phase Alignment Engine,7,65,slipstream,The Slipstream,playable,composition-pass,seeded,hold,clear,constraint,high,field-recompose,reorientation,review,no,review,yes,7,composition-sensitive,high-heat,medium,low,medium,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-low | fit:navicue-medium | fit:practice-high | heat:high-heat | input:breath | input:scrub | job:agency | job:boundary | job:identity | physics:acoustic | physics:fluid | physics:structural | resolution:field-recompose | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
649,buoyant-ascent-release,The Buoyant Ascent Engine,7,65,slipstream,The Slipstream,playable,composition-pass,seeded,hold,hold,entanglement,high,field-recompose,reorientation,review,review,yes,yes,7,composition-sensitive,high-heat,medium,medium,high,high,4,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:hold | input:observe | job:boundary | job:identity | job:release | physics:fluid | physics:gravitational | physics:network | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
650,zero-drag-teardrop,The Zero-Drag Engine,7,65,slipstream,The Slipstream,playable,composition-pass,seeded,hold,trace,constraint,high,seal,closure,review,yes,review,yes,7,composition-sensitive,broad,medium,high,medium,high,11,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:draw | job:boundary | job:identity | job:release | physics:fluid | physics:gravitational | physics:structural | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
651,rotational-boundary,The Rotational Boundary Engine,7,66,centrifuge,The Centrifuge,playable,composition-pass,seeded,hold,guide,entanglement,high,seal,closure,review,yes,review,yes,7,composition-sensitive,broad,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:boundary | job:regulation | physics:gravitational | physics:network | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
652,angular-velocity-shed,The Angular Velocity Engine,7,66,centrifuge,The Centrifuge,playable,composition-pass,seeded,hold,redirect,entanglement,high,seal,closure,review,yes,yes,yes,7,composition-sensitive,broad,medium,high,high,high,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:swipe | job:boundary | job:regulation | job:temporal | physics:gravitational | physics:network | physics:subtractive | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
653,vortex-core-stillness,The Vortex Core Engine,7,66,centrifuge,The Centrifuge,playable,composition-pass,seeded,hold,guide,entanglement,high,seal,closure,review,review,no,yes,6,composition-sensitive,broad,medium,medium,low,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:boundary | job:regulation | job:release | physics:gravitational | physics:network | physics:subtractive | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
654,gyroscopic-stabilizer,The Gyroscopic Stabilizer Engine,7,66,centrifuge,The Centrifuge,playable,composition-pass,seeded,hold,guide,entanglement,high,seal,closure,review,review,no,yes,6,composition-sensitive,broad,medium,medium,low,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:boundary | job:regulation | job:release | physics:gravitational | physics:network | physics:subtractive | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
655,particle-separation,The Particle Separation Engine,7,66,centrifuge,The Centrifuge,playable,composition-pass,seeded,hold,hold,entanglement,high,seal,closure,review,yes,review,yes,7,composition-sensitive,high-heat,medium,high,medium,high,28,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:high-heat | input:hold | job:boundary | job:regulation | physics:fluid | physics:gravitational | physics:network | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
656,orbital-deflection,The Orbital Deflection Engine,7,66,centrifuge,The Centrifuge,playable,composition-pass,seeded,hold,guide,entanglement,high,seal,closure,review,yes,review,yes,7,composition-sensitive,broad,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:boundary | job:regulation | physics:gravitational | physics:network | physics:structural | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
657,flywheel-momentum,The Flywheel Engine,7,66,centrifuge,The Centrifuge,playable,composition-pass,seeded,hold,redirect,entanglement,high,seal,closure,review,no,review,yes,6,composition-sensitive,broad,medium,low,medium,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-low | fit:navicue-medium | fit:practice-high | heat:broad | input:swipe | job:agency | job:boundary | job:identity | physics:gravitational | physics:network | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
658,expanding-radius,The Expanding Radius Engine,7,66,centrifuge,The Centrifuge,playable,composition-pass,seeded,hold,guide,entanglement,high,seal,closure,review,yes,review,yes,7,composition-sensitive,broad,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:boundary | job:regulation | physics:gravitational | physics:network | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
659,tether-snap-release,The Tether Snap Engine,7,66,centrifuge,The Centrifuge,playable,composition-pass,seeded,hold,guide,entanglement,high,seal,closure,review,yes,review,yes,7,composition-sensitive,broad,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:boundary | job:connection | job:regulation | physics:acoustic | physics:gravitational | physics:network | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
660,apex-centrifuge,The Apex Centrifuge Engine,7,66,centrifuge,The Centrifuge,playable,composition-pass,seeded,hold,guide,distortion,high,seal,closure,review,yes,review,yes,7,composition-sensitive,low-heat,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:boundary | job:regulation | physics:gravitational | physics:network | physics:optical | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
661,black-ice-grip,The Black Ice Engine,7,67,harmonious-friction,The Harmonious Friction,playable,composition-pass,seeded,hold,trigger,entanglement,high,seal,closure,review,review,no,yes,6,composition-sensitive,high-heat,medium,medium,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:agency | job:boundary | job:release | physics:network | physics:structural | physics:thermal | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
662,brake-caliper-stop,The Brake Caliper Engine,7,67,harmonious-friction,The Harmonious Friction,playable,composition-pass,seeded,hold,reshape,entanglement,high,seal,closure,review,yes,review,yes,7,composition-sensitive,broad,medium,high,medium,high,30,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:pinch | job:agency | job:boundary | job:release | physics:gravitational | physics:network | physics:thermal | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
663,grindstone-edge,The Grindstone Engine,7,67,harmonious-friction,The Harmonious Friction,hero-grade,hero-pass,seeded,curation-ready,guide,paradox,high,seal,closure,yes,yes,yes,yes,8,hero-candidate,high-heat,high,high,high,high,1,low,,complexity:moderate | fit:insight-high | fit:journey-high | fit:navicue-high | fit:practice-high | heat:high-heat | input:drag | input:hold | job:boundary | job:identity | job:release | physics:network | physics:structural | physics:topological | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
664,ignition-spark-strike,The Ignition Spark Engine,7,67,harmonious-friction,The Harmonious Friction,playable,composition-pass,seeded,hold,guide,entanglement,high,seal,closure,review,review,no,yes,6,composition-sensitive,broad,medium,medium,low,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:agency | job:boundary | job:release | physics:network | physics:structural | physics:subtractive | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
665,meshed-gears-lock,The Meshed Gears Engine,7,67,harmonious-friction,The Harmonious Friction,playable,composition-pass,seeded,hold,guide,entanglement,high,seal,closure,review,yes,review,yes,7,composition-sensitive,broad,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:boundary | job:connection | job:release | physics:acoustic | physics:gravitational | physics:network | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
666,traction-loss-grit,The Traction Loss Engine,7,67,harmonious-friction,The Harmonious Friction,playable,composition-pass,seeded,hold,guide,entanglement,high,seal,closure,review,review,no,yes,6,composition-sensitive,broad,medium,medium,low,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:agency | job:boundary | job:release | physics:acoustic | physics:gravitational | physics:network | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
667,cleaving-wedge-break,The Cleaving Wedge Engine,7,67,harmonious-friction,The Harmonious Friction,playable,composition-pass,seeded,hold,trigger,entanglement,high,seal,closure,review,review,no,yes,6,composition-sensitive,high-heat,medium,medium,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:agency | job:boundary | job:release | physics:network | physics:structural | physics:subtractive | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
668,sounding-board-ricochet,The Sounding Board Engine,7,67,harmonious-friction,The Harmonious Friction,playable,composition-pass,seeded,hold,redirect,entanglement,high,seal,closure,review,review,review,yes,6,composition-sensitive,broad,medium,medium,medium,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:swipe | job:boundary | job:focus | job:release | physics:network | physics:structural | physics:thermal | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
669,micro-adjustment-steer,The Micro-Adjustment Engine,7,67,harmonious-friction,The Harmonious Friction,playable,composition-pass,seeded,hold,trigger,entanglement,high,seal,closure,review,review,no,yes,6,composition-sensitive,high-heat,medium,medium,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:agency | job:boundary | job:release | physics:network | physics:structural | physics:subtractive | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
670,apex-carve-slalom,The Apex Carve Engine,7,67,harmonious-friction,The Harmonious Friction,hero-grade,hero-pass,seeded,curation-ready,guide,entanglement,high,seal,closure,yes,yes,review,yes,8,hero-candidate,high-heat,high,high,medium,high,3,low,,complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-high | fit:practice-high | heat:high-heat | input:drag | input:tap | job:agency | job:boundary | job:release | physics:network | physics:structural | physics:subtractive | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
671,pendulum-dampener,The Pendulum Dampener Engine,7,68,counter-balance,The Counter-Balance,hero-grade,hero-pass,seeded,curation-ready,hold,weight,high,seal,closure,yes,yes,no,yes,8,hero-candidate,high-heat,high,high,low,high,3,low,,complexity:simple | fit:insight-low | fit:journey-high | fit:navicue-high | fit:practice-high | heat:high-heat | input:breath | input:hold | job:agency | job:boundary | job:regulation | physics:acoustic | physics:gravitational | resolution:seal | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
672,counter-steer-skid,The Counter-Steer Engine,7,68,counter-balance,The Counter-Balance,playable,composition-pass,seeded,hold,redirect,entanglement,high,seal,closure,review,review,no,yes,6,composition-sensitive,broad,medium,medium,low,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:swipe | job:agency | job:boundary | job:regulation | physics:gravitational | physics:network | physics:subtractive | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
673,ballast-drop-gravity,The Ballast Drop Engine,7,68,counter-balance,The Counter-Balance,playable,composition-pass,seeded,hold,trigger,entanglement,high,seal,closure,review,review,review,yes,6,composition-sensitive,high-heat,medium,medium,medium,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:agency | job:identity | job:release | physics:gravitational | physics:network | physics:subtractive | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
674,micro-weight-calibrate,The Micro-Weight Engine,7,68,counter-balance,The Counter-Balance,playable,composition-pass,seeded,hold,reshape,distortion,high,seal,closure,review,review,review,yes,7,composition-sensitive,low-heat,medium,medium,medium,high,5,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | input:pinch | job:agency | job:regulation | job:release | physics:gravitational | physics:optical | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
675,slackline-balance,The Slackline Engine,7,68,counter-balance,The Counter-Balance,playable,composition-pass,seeded,hold,guide,weight,high,seal,closure,review,yes,review,yes,7,composition-sensitive,broad,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:agency | job:regulation | job:temporal | physics:acoustic | physics:fluid | physics:gravitational | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
676,outrigger-expand,The Outrigger Engine,7,68,counter-balance,The Counter-Balance,playable,composition-pass,seeded,hold,redirect,entanglement,high,seal,closure,review,review,review,yes,6,composition-sensitive,broad,medium,medium,medium,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:swipe | job:agency | job:focus | job:regulation | physics:fluid | physics:gravitational | physics:network | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
677,phase-cancellation-wave,The Phase Cancellation Engine,7,68,counter-balance,The Counter-Balance,playable,composition-pass,seeded,hold,trace,weight,high,seal,closure,review,review,review,yes,6,composition-sensitive,broad,medium,medium,medium,high,13,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:draw | job:agency | job:focus | job:regulation | physics:gravitational | physics:subtractive | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
678,delayed-shift-wait,The Delayed Shift Engine,7,68,counter-balance,The Counter-Balance,playable,composition-pass,seeded,hold,witness,weight,high,seal,closure,review,review,review,yes,6,composition-sensitive,broad,medium,medium,medium,high,17,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:observe | job:agency | job:regulation | job:temporal | physics:gravitational | resolution:seal | sensor:haptics | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
679,tension-strut-tensegrity,The Tension Strut Engine,7,68,counter-balance,The Counter-Balance,playable,composition-pass,seeded,hold,guide,entanglement,high,seal,closure,review,review,review,yes,6,composition-sensitive,broad,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:agency | job:boundary | job:temporal | physics:gravitational | physics:network | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
680,apex-equilibrium,The Apex Equilibrium Engine,7,68,counter-balance,The Counter-Balance,playable,composition-pass,seeded,hold,guide,entanglement,high,seal,closure,review,yes,review,yes,7,composition-sensitive,broad,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:agency | job:boundary | job:regulation | physics:gravitational | physics:network | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
