number,id,name,collection_number,series_number,series_name,render_mode,default_scale,surfaces,device_requirements,breath_coupling,continuous,has_resolution,structural_score,triage_tier,complexity_band,dominant_inputs,sensory_profile,resolution_profile,therapeutic_jobs,physics_tags,heat_fit,navicue_fit,journey_fit,insight_fit,practice_fit,repetition_cluster_size,refinement_priority,refinement_reasons,matching_tags
535,sediment-deposit,The Sediment Deposit Engine,6,54,The Geological Carver,canvas,full,tappable,haptics,none,false,true,6,composition-sensitive,simple,tap,visual|touch|haptics,field-recompose,regulation|release|agency,fluid|structural|thermal,high-heat,medium,medium,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:agency|job:regulation|job:release|physics:fluid|physics:structural|physics:thermal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
536,thermal-expansion-rest,The Thermal Expansion Engine,6,54,The Geological Carver,canvas,full,holdable|observable,haptics,none,false,true,7,composition-sensitive,simple,hold|observe,visual|touch|haptics,field-recompose,agency|boundary|regulation,thermal|fluid|gravitational,high-heat,medium,medium,low,high,4,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:hold|input:observe|job:agency|job:boundary|job:regulation|physics:fluid|physics:gravitational|physics:thermal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
537,root-wedge,The Root Wedge Engine,6,54,The Geological Carver,canvas,full,draggable|holdable,haptics,none,true,true,8,hero-candidate,simple,drag|hold,visual|touch|haptics,field-recompose,regulation|boundary|agency,fluid|gravitational|thermal,high-heat,high,high,low,high,9,low,,complexity:simple|fit:insight-low|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:drag|input:hold|job:agency|job:boundary|job:regulation|physics:fluid|physics:gravitational|physics:thermal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
538,glacial-polish,The Glacial Polish Engine,6,54,The Geological Carver,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,boundary|perspective|agency,fluid|gravitational|thermal,broad,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:broad|input:drag|job:agency|job:boundary|job:perspective|physics:fluid|physics:gravitational|physics:thermal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
539,oxbow-pivot,The Oxbow Pivot Engine,6,54,The Geological Carver,canvas,full,drawable,haptics,none,true,true,7,composition-sensitive,simple,draw,visual|touch|haptics,field-recompose,agency|boundary|regulation,fluid|gravitational|structural,broad,medium,high,low,high,11,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:broad|input:draw|job:agency|job:boundary|job:regulation|physics:fluid|physics:gravitational|physics:structural|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
540,grand-canyon-carve,The Grand Canyon Engine,6,54,The Geological Carver,canvas,full,scrubable,haptics,none,true,true,7,composition-sensitive,simple,scrub,visual|touch|haptics,seal,temporal|boundary|regulation,fluid|temporal|gravitational,low-heat,medium,high,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:scrub|job:boundary|job:regulation|job:temporal|physics:fluid|physics:gravitational|physics:temporal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
541,hourglass-gravity-flip,The Hourglass Gravity Flip Engine,6,55,The Hourglass Inversion,canvas,full,gyroscopic,haptics|gyroscope,none,false,true,7,composition-sensitive,simple,tilt,visual|haptics|tilt,field-recompose,focus|agency|temporal,gravitational|temporal|thermal,low-heat,medium,medium,medium,medium,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-medium|heat:low-heat|input:tilt|job:agency|job:focus|job:temporal|physics:gravitational|physics:temporal|physics:thermal|resolution:field-recompose|sensor:haptics|sensor:tilt|sensor:visual
542,center-of-mass,The Center of Mass Engine,6,55,The Hourglass Inversion,canvas,full,gyroscopic|observable,haptics|gyroscope,none,true,true,9,hero-candidate,moderate,tilt|observe,visual|haptics|tilt,field-recompose,boundary|agency|focus,gravitational|fluid|temporal,low-heat,signature,medium,high,medium,3,low,,complexity:moderate|fit:insight-high|fit:journey-medium|fit:navicue-signature|fit:practice-medium|heat:low-heat|input:observe|input:tilt|job:agency|job:boundary|job:focus|physics:fluid|physics:gravitational|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:tilt|sensor:visual
543,strata-compress,The Strata Compress Engine,6,55,The Hourglass Inversion,canvas,full,pinchable,haptics,none,true,true,7,composition-sensitive,simple,pinch,visual|touch|haptics,field-recompose,temporal|agency|regulation,gravitational|temporal|thermal,low-heat,medium,high,high,high,30,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:pinch|job:agency|job:regulation|job:temporal|physics:gravitational|physics:temporal|physics:thermal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
544,kinetic-impact-age,The Kinetic Impact Engine,6,55,The Hourglass Inversion,canvas,full,swipeable|observable,haptics,none,false,true,7,composition-sensitive,simple,swipe|observe,visual|touch|haptics,field-recompose,release|agency|boundary,gravitational|network|optical,low-heat,medium,medium,medium,high,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:observe|input:swipe|job:agency|job:boundary|job:release|physics:gravitational|physics:network|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
545,bottleneck-expand,The Bottleneck Expand Engine,6,55,The Hourglass Inversion,canvas,full,pinchable,haptics,none,false,true,6,composition-sensitive,simple,pinch,visual|touch|haptics,field-recompose,focus|agency|boundary,gravitational|fluid|temporal,low-heat,medium,low,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:low-heat|input:pinch|job:agency|job:boundary|job:focus|physics:fluid|physics:gravitational|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
546,hourglass-shatter,The Hourglass Shatter Engine,6,55,The Hourglass Inversion,canvas,full,tappable,haptics,none,false,true,6,composition-sensitive,simple,tap,visual|touch|haptics,state-morph,boundary|agency|release,gravitational|structural|temporal,high-heat,medium,medium,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:agency|job:boundary|job:release|physics:gravitational|physics:structural|physics:temporal|resolution:state-morph|sensor:haptics|sensor:touch|sensor:visual
547,stalagmite-build,The Stalagmite Build Engine,6,55,The Hourglass Inversion,canvas,full,draggable,haptics,none,false,true,6,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,release|agency|boundary,gravitational|temporal|fluid,low-heat,medium,medium,low,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:agency|job:boundary|job:release|physics:fluid|physics:gravitational|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
548,weight-displacement-lever,The Weight Displacement Engine,6,55,The Hourglass Inversion,canvas,full,observable,haptics,none,true,true,7,composition-sensitive,simple,observe,visual|haptics,field-recompose,agency|temporal|boundary,gravitational|temporal|network,low-heat,medium,high,high,high,6,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:observe|job:agency|job:boundary|job:temporal|physics:gravitational|physics:network|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:visual
549,compound-snowball,The Compound Snowball Engine,6,55,The Hourglass Inversion,canvas,full,gyroscopic,haptics|gyroscope,none,true,true,8,hero-candidate,simple,tilt,visual|haptics|tilt,field-recompose,agency|temporal|boundary,gravitational|temporal|network,low-heat,high,high,high,medium,7,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-medium|heat:low-heat|input:tilt|job:agency|job:boundary|job:temporal|physics:gravitational|physics:network|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:tilt|sensor:visual
550,apex-inversion-monument,The Apex Inversion Engine,6,55,The Hourglass Inversion,canvas,full,observable,haptics,none,false,true,6,composition-sensitive,simple,observe,visual|haptics,seal,focus|agency|temporal,gravitational|temporal|optical,low-heat,medium,medium,high,high,17,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:observe|job:agency|job:focus|job:temporal|physics:gravitational|physics:optical|physics:temporal|resolution:seal|sensor:haptics|sensor:visual
551,load-bearing-link,The Load-Bearing Link Engine,6,56,The Ancestral Tether,canvas,full,swipeable,haptics,none,false,true,6,composition-sensitive,simple,swipe,visual|touch|haptics,seal,temporal|boundary|perspective,temporal|gravitational|network,low-heat,medium,medium,medium,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:swipe|job:boundary|job:perspective|job:temporal|physics:gravitational|physics:network|physics:temporal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
552,kinetic-transfer-pulse,The Kinetic Transfer Engine,6,56,The Ancestral Tether,canvas,full,draggable,haptics,none,false,true,6,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,temporal|boundary|perspective,network|temporal|gravitational,low-heat,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:boundary|job:perspective|job:temporal|physics:gravitational|physics:network|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
553,shock-absorber-chain,The Shock Absorber Engine,6,56,The Ancestral Tether,canvas,full,holdable,haptics,none,true,true,7,composition-sensitive,simple,hold,visual|touch|haptics,field-recompose,temporal|boundary|perspective,network|temporal|gravitational,high-heat,medium,high,high,high,28,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:high-heat|input:hold|job:boundary|job:perspective|job:temporal|physics:gravitational|physics:network|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
554,forward-cast-nodes,The Forward Cast Engine,6,56,The Ancestral Tether,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,temporal|boundary|perspective,network|temporal|gravitational,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:boundary|job:perspective|job:temporal|physics:gravitational|physics:network|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
555,structural-integrity-chain,The Structural Integrity Engine,6,56,The Ancestral Tether,canvas,full,pinchable,haptics,none,true,true,7,composition-sensitive,simple,pinch,visual|touch|haptics,field-recompose,temporal|boundary|perspective,network|gravitational|temporal,low-heat,medium,high,high,high,30,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:pinch|job:boundary|job:perspective|job:temporal|physics:gravitational|physics:network|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
556,ripple-effect-tap,The Ripple Effect Engine,6,56,The Ancestral Tether,canvas,full,tappable,haptics,none,false,true,6,composition-sensitive,simple,tap,visual|touch|haptics,field-recompose,temporal|boundary|perspective,network|temporal|acoustic,high-heat,medium,medium,medium,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:boundary|job:perspective|job:temporal|physics:acoustic|physics:network|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
557,orphan-node-lattice,The Orphan Node Engine,6,56,The Ancestral Tether,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,temporal|perspective|boundary,network|thermal|temporal,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:boundary|job:perspective|job:temporal|physics:network|physics:temporal|physics:thermal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
558,compression-arch-load,The Compression Arch Engine,6,56,The Ancestral Tether,canvas,full,swipeable,haptics,none,false,true,6,composition-sensitive,simple,swipe,visual|touch|haptics,field-recompose,temporal|boundary|perspective,gravitational|network|thermal,broad,medium,medium,medium,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:swipe|job:boundary|job:perspective|job:temporal|physics:gravitational|physics:network|physics:thermal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
559,tension-release-slack,The Tension Release Engine,6,56,The Ancestral Tether,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,state-morph,temporal|boundary|agency,network|temporal|optical,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:agency|job:boundary|job:temporal|physics:network|physics:optical|physics:temporal|resolution:state-morph|sensor:haptics|sensor:touch|sensor:visual
560,infinite-zoom-helix,The Infinite Zoom Helix Engine,6,56,The Ancestral Tether,canvas,full,pinchable,haptics,none,true,true,7,composition-sensitive,simple,pinch,visual|touch|haptics,seal,temporal|boundary|perspective,network|gravitational|temporal,low-heat,medium,high,high,high,30,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:pinch|job:boundary|job:perspective|job:temporal|physics:gravitational|physics:network|physics:temporal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
561,claustrophobia-expand,The Claustrophobia Expand Engine,6,57,The Horizon Line,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,seal,perspective|temporal|boundary,optical|temporal|acoustic,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:boundary|job:perspective|job:temporal|physics:acoustic|physics:optical|physics:temporal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
562,reactive-dodge-focus,The Reactive Dodge Engine,6,57,The Horizon Line,canvas,full,tappable|holdable,haptics,none,false,true,7,composition-sensitive,simple,hold|tap,visual|touch|haptics,seal,perspective|temporal|boundary,temporal|network|optical,high-heat,medium,medium,medium,high,4,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:hold|input:tap|job:boundary|job:perspective|job:temporal|physics:network|physics:optical|physics:temporal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
563,fog-of-war-beacon,The Fog of War Beacon Engine,6,57,The Horizon Line,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,seal,perspective|temporal|boundary,optical|temporal|gravitational,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:boundary|job:perspective|job:temporal|physics:gravitational|physics:optical|physics:temporal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
564,vanishing-point-converge,The Vanishing Point Engine,6,57,The Horizon Line,canvas,full,pinchable,haptics,none,false,true,6,composition-sensitive,simple,pinch,visual|touch|haptics,seal,perspective|temporal|boundary,optical|temporal|acoustic,low-heat,medium,medium,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:pinch|job:boundary|job:perspective|job:temporal|physics:acoustic|physics:optical|physics:temporal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
565,tactical-retreat-flank,The Tactical Retreat Engine,6,57,The Horizon Line,canvas,full,observable,haptics,none,true,true,7,composition-sensitive,simple,observe,visual|haptics,seal,perspective|boundary|temporal,gravitational|network|optical,low-heat,medium,high,high,high,6,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:observe|job:boundary|job:perspective|job:temporal|physics:gravitational|physics:network|physics:optical|resolution:seal|sensor:haptics|sensor:visual
566,delayed-yield-harvest,The Delayed Yield Engine,6,57,The Horizon Line,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,seal,temporal|perspective|boundary,temporal|gravitational|optical,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:boundary|job:perspective|job:temporal|physics:gravitational|physics:optical|physics:temporal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
567,trajectory-plot-aim,The Trajectory Plot Engine,6,57,The Horizon Line,canvas,full,scrubable,haptics,none,true,true,7,composition-sensitive,simple,scrub,visual|touch|haptics,seal,perspective|temporal|boundary,gravitational|optical|temporal,low-heat,medium,high,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:scrub|job:boundary|job:perspective|job:temporal|physics:gravitational|physics:optical|physics:temporal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
568,doppler-shift-approach,The Doppler Shift Engine,6,57,The Horizon Line,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,seal,temporal|perspective|agency,temporal|gravitational|acoustic,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:agency|job:perspective|job:temporal|physics:acoustic|physics:gravitational|physics:temporal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
569,parallax-scroll-depth,The Parallax Scroll Engine,6,57,The Horizon Line,canvas,full,draggable|holdable,haptics,none,true,true,8,hero-candidate,simple,drag|hold,visual|touch|haptics,seal,perspective|regulation|temporal,temporal|gravitational|optical,high-heat,high,high,high,high,9,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:drag|input:hold|job:perspective|job:regulation|job:temporal|physics:gravitational|physics:optical|physics:temporal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
570,horizon-merge-present,The Horizon Merge Engine,6,57,The Horizon Line,canvas,full,holdable,haptics,none,true,true,7,composition-sensitive,simple,hold,visual|touch|haptics,seal,perspective|temporal|boundary,temporal|network|optical,high-heat,medium,high,high,high,28,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:high-heat|input:hold|job:boundary|job:perspective|job:temporal|physics:network|physics:optical|physics:temporal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
571,sand-mandala-sweep,The Sand Mandala Engine,6,58,The Ephemeral Bloom,canvas,full,draggable|swipeable,haptics,none,false,true,7,composition-sensitive,simple,swipe|drag,visual|touch|haptics,state-morph,identity|regulation|agency,fluid|gravitational|network,broad,medium,medium,medium,high,7,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:drag|input:swipe|job:agency|job:identity|job:regulation|physics:fluid|physics:gravitational|physics:network|resolution:state-morph|sensor:haptics|sensor:touch|sensor:visual
572,seasonal-shed,The Seasonal Shed Engine,6,58,The Ephemeral Bloom,canvas,full,gyroscopic,haptics|gyroscope,none,false,true,7,composition-sensitive,simple,tilt,visual|haptics|tilt,state-morph,identity|regulation|release,gravitational|thermal|fluid,low-heat,medium,medium,low,medium,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-medium|heat:low-heat|input:tilt|job:identity|job:regulation|job:release|physics:fluid|physics:gravitational|physics:thermal|resolution:state-morph|sensor:haptics|sensor:tilt|sensor:visual
573,chrysalis-melt,The Chrysalis Melt Engine,6,58,The Ephemeral Bloom,canvas,full,holdable,haptics,none,true,true,7,composition-sensitive,simple,hold,visual|touch|haptics,state-morph,identity|release|regulation,fluid|gravitational|topological,high-heat,medium,high,high,high,28,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:high-heat|input:hold|job:identity|job:regulation|job:release|physics:fluid|physics:gravitational|physics:topological|resolution:state-morph|sensor:haptics|sensor:touch|sensor:visual
574,compost-grind,The Compost Grind Engine,6,58,The Ephemeral Bloom,canvas,full,draggable,haptics,none,false,true,6,composition-sensitive,simple,drag,visual|touch|haptics,state-morph,identity|regulation|release,gravitational|fluid|network,broad,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:drag|job:identity|job:regulation|job:release|physics:fluid|physics:gravitational|physics:network|resolution:state-morph|sensor:haptics|sensor:touch|sensor:visual
575,molting-shell-crack,The Molting Shell Engine,6,58,The Ephemeral Bloom,canvas,full,pinchable,haptics,none,false,true,6,composition-sensitive,simple,pinch,visual|touch|haptics,state-morph,identity|regulation|boundary,gravitational|fluid|network,broad,medium,medium,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:pinch|job:boundary|job:identity|job:regulation|physics:fluid|physics:gravitational|physics:network|resolution:state-morph|sensor:haptics|sensor:touch|sensor:visual
576,sunset-anomaly,The Sunset Anomaly Engine,6,58,The Ephemeral Bloom,canvas,full,draggable|observable,haptics,none,true,true,8,hero-candidate,simple,drag|observe,visual|touch|haptics,state-morph,identity|release|agency,subtractive|gravitational|fluid,mid-heat,high,high,medium,high,8,low,,complexity:simple|fit:insight-medium|fit:journey-high|fit:navicue-high|fit:practice-high|heat:mid-heat|input:drag|input:observe|job:agency|job:identity|job:release|physics:fluid|physics:gravitational|physics:subtractive|resolution:state-morph|sensor:haptics|sensor:touch|sensor:visual
577,kinetic-decay-halflife,The Kinetic Decay Engine,6,58,The Ephemeral Bloom,canvas,focus,observable,haptics,none,true,true,5,composition-sensitive,simple,observe,visual|haptics,state-morph,identity|regulation|release,gravitational|network|subtractive,broad,medium,high,high,high,3,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:broad|input:observe|job:identity|job:regulation|job:release|physics:gravitational|physics:network|physics:subtractive|resolution:state-morph|sensor:haptics|sensor:visual
578,memory-compression,The Memory Compression Engine,6,58,The Ephemeral Bloom,canvas,full,tappable,haptics,none,false,true,6,composition-sensitive,simple,tap,visual|touch|haptics,state-morph,identity|regulation|boundary,gravitational|network|temporal,high-heat,medium,medium,medium,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:boundary|job:identity|job:regulation|physics:gravitational|physics:network|physics:temporal|resolution:state-morph|sensor:haptics|sensor:touch|sensor:visual
579,exhale-release,The Exhale Release Engine,6,58,The Ephemeral Bloom,canvas,full,holdable|observable,haptics,drives,false,true,8,hero-candidate,simple,hold|breath|observe,visual|touch|breath|haptics,state-morph,release|identity|regulation,fluid|gravitational|optical,high-heat,high,medium,high,high,1,low,,complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-high|fit:practice-high|heat:high-heat|input:breath|input:hold|input:observe|job:identity|job:regulation|job:release|physics:fluid|physics:gravitational|physics:optical|resolution:state-morph|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
580,seed-scatter-bloom,The Seed Scatter Engine,6,58,The Ephemeral Bloom,canvas,full,tappable,haptics,none,false,true,6,composition-sensitive,simple,tap,visual|touch|haptics,seal,identity|regulation|release,gravitational|fluid|subtractive,high-heat,medium,medium,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:identity|job:regulation|job:release|physics:fluid|physics:gravitational|physics:subtractive|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
581,blind-architect-stack,The Blind Architect Engine,6,59,The Legacy Seed,canvas,full,draggable,haptics,none,false,true,6,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,boundary|agency|connection,structural|gravitational|optical,low-heat,medium,low,low,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:agency|job:boundary|job:connection|physics:gravitational|physics:optical|physics:structural|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
